127.0.0.1 - - [06/Jan/2019:19:31:17 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [06/Jan/2019:19:31:24 +0900] "GET /cpes-web HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jan/2019:19:31:24 +0900] "GET /cpes-web/ HTTP/1.1" 200 3181
0:0:0:0:0:0:0:1 - - [06/Jan/2019:19:31:24 +0900] "GET /cpes-web/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [06/Jan/2019:19:31:24 +0900] "GET /cpes-web/css/font-awesome.min.css HTTP/1.1" 200 21963
0:0:0:0:0:0:0:1 - - [06/Jan/2019:19:31:26 +0900] "GET /cpes-web/css/login.css HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [06/Jan/2019:19:31:26 +0900] "GET /cpes-web/img/logo.png HTTP/1.1" 200 9994
0:0:0:0:0:0:0:1 - - [06/Jan/2019:19:31:26 +0900] "GET /cpes-web/jquery/jquery-2.1.1.min.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [06/Jan/2019:19:31:26 +0900] "GET /cpes-web/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [06/Jan/2019:19:31:26 +0900] "GET /cpes-web/layer/layer.js HTTP/1.1" 200 21342
0:0:0:0:0:0:0:1 - - [06/Jan/2019:19:31:26 +0900] "GET /cpes-web/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [06/Jan/2019:19:31:26 +0900] "GET /cpes-web/layer/skin/default/layer.css?v=3.0.11110 HTTP/1.1" 200 14296
0:0:0:0:0:0:0:1 - - [06/Jan/2019:19:31:26 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [06/Jan/2019:19:31:30 +0900] "GET /cpes-web/layer/skin/default/loading-2.gif HTTP/1.1" 200 1787
0:0:0:0:0:0:0:1 - - [06/Jan/2019:19:31:32 +0900] "POST /cpes-web/doLogin.do HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [06/Jan/2019:19:31:32 +0900] "GET /cpes-web/login.htm HTTP/1.1" 200 6063
0:0:0:0:0:0:0:1 - - [06/Jan/2019:19:31:32 +0900] "GET /cpes-web/css/main.css HTTP/1.1" 200 1660
0:0:0:0:0:0:0:1 - - [06/Jan/2019:19:31:32 +0900] "GET /cpes-web/script/docs.min.js HTTP/1.1" 200 43107
0:0:0:0:0:0:0:1 - - [06/Jan/2019:19:31:35 +0900] "GET /cpes-web/user/index.htm HTTP/1.1" 200 8713
